"","Cell","Batch","Patient","Channel","Group","ExpLibSize"
"Cell369","Cell369","Batch3","Patient35","Channel3","Group3",67276.2024465664
"Cell370","Cell370","Batch3","Patient41","Channel3","Group4",74679.2294646745
"Cell371","Cell371","Batch3","Patient38","Channel3","Group5",57011.468821733
"Cell372","Cell372","Batch3","Patient29","Channel3","Group5",42806.4572165858
"Cell373","Cell373","Batch3","Patient37","Channel3","Group2",55368.1971589472
"Cell374","Cell374","Batch3","Patient30","Channel3","Group4",76510.7722101225
"Cell375","Cell375","Batch3","Patient30","Channel3","Group5",123058.002547782
"Cell376","Cell376","Batch3","Patient40","Channel3","Group5",56831.9171742103
"Cell377","Cell377","Batch3","Patient36","Channel3","Group5",46402.8048018873
"Cell378","Cell378","Batch3","Patient42","Channel3","Group3",91618.6713880137
"Cell379","Cell379","Batch3","Patient39","Channel3","Group3",81493.1176102016
"Cell380","Cell380","Batch3","Patient38","Channel3","Group2",54547.969429776
"Cell381","Cell381","Batch3","Patient33","Channel3","Group4",72601.3446534827
"Cell382","Cell382","Batch3","Patient41","Channel3","Group1",85954.8008710359
"Cell383","Cell383","Batch3","Patient38","Channel3","Group5",132444.097682796
"Cell384","Cell384","Batch3","Patient41","Channel3","Group2",64211.012938051
"Cell385","Cell385","Batch3","Patient41","Channel3","Group4",58135.0280952318
"Cell386","Cell386","Batch3","Patient41","Channel3","Group3",82719.4970218051
"Cell387","Cell387","Batch3","Patient36","Channel3","Group1",43903.1148349197
"Cell388","Cell388","Batch3","Patient40","Channel3","Group3",53730.860396275
"Cell389","Cell389","Batch3","Patient41","Channel3","Group1",40756.0868429359
"Cell390","Cell390","Batch3","Patient42","Channel3","Group1",46965.4438615621
"Cell391","Cell391","Batch3","Patient40","Channel3","Group4",65952.3712340374
"Cell392","Cell392","Batch3","Patient39","Channel3","Group3",38114.5863604393
"Cell393","Cell393","Batch3","Patient39","Channel3","Group5",69322.4814958077
"Cell394","Cell394","Batch3","Patient29","Channel3","Group2",38476.7762605754
"Cell395","Cell395","Batch3","Patient31","Channel3","Group4",49716.0406486131
"Cell396","Cell396","Batch3","Patient30","Channel3","Group4",61070.7542151783
"Cell397","Cell397","Batch3","Patient40","Channel3","Group4",53723.0568127323
"Cell398","Cell398","Batch3","Patient41","Channel3","Group5",59154.8235593533
"Cell399","Cell399","Batch3","Patient36","Channel3","Group2",77091.3688948353
"Cell400","Cell400","Batch3","Patient42","Channel3","Group5",126950.517538335
"Cell401","Cell401","Batch3","Patient41","Channel3","Group4",68516.6867135243
"Cell402","Cell402","Batch3","Patient39","Channel3","Group1",67135.3169327793
"Cell403","Cell403","Batch3","Patient38","Channel3","Group4",21749.3069800633
"Cell404","Cell404","Batch3","Patient40","Channel3","Group3",43846.172835872
"Cell405","Cell405","Batch3","Patient33","Channel3","Group4",46548.7083952288
"Cell406","Cell406","Batch3","Patient41","Channel3","Group4",52014.9840060729
"Cell407","Cell407","Batch3","Patient36","Channel3","Group2",116788.697688134
"Cell408","Cell408","Batch3","Patient39","Channel3","Group2",30927.7856638665
"Cell409","Cell409","Batch3","Patient29","Channel3","Group4",105013.57763809
"Cell410","Cell410","Batch3","Patient37","Channel3","Group3",54019.4726591716
"Cell411","Cell411","Batch3","Patient32","Channel3","Group1",39460.1681935841
"Cell412","Cell412","Batch3","Patient40","Channel3","Group5",45394.3891725326
"Cell413","Cell413","Batch3","Patient36","Channel3","Group5",46204.7440949974
"Cell414","Cell414","Batch3","Patient34","Channel3","Group4",40901.8781088216
"Cell415","Cell415","Batch3","Patient38","Channel3","Group4",49016.3968266611
"Cell416","Cell416","Batch3","Patient41","Channel3","Group2",34727.3981857041
"Cell417","Cell417","Batch3","Patient36","Channel3","Group2",121626.670794837
"Cell418","Cell418","Batch3","Patient29","Channel3","Group1",43340.7417046888
"Cell419","Cell419","Batch3","Patient36","Channel3","Group1",82108.5439868858
"Cell420","Cell420","Batch3","Patient29","Channel3","Group2",42644.6789959095
"Cell421","Cell421","Batch4","Patient56","Channel4","Group3",52398.3420286133
"Cell422","Cell422","Batch4","Patient48","Channel4","Group4",67553.2425428116
"Cell423","Cell423","Batch4","Patient43","Channel4","Group2",67692.4297870985
"Cell424","Cell424","Batch4","Patient46","Channel4","Group5",58776.5479135651
"Cell425","Cell425","Batch4","Patient51","Channel4","Group2",66123.1097697058
"Cell426","Cell426","Batch4","Patient48","Channel4","Group3",81920.1448905479
"Cell427","Cell427","Batch4","Patient48","Channel4","Group1",84073.2567031947
"Cell428","Cell428","Batch4","Patient53","Channel4","Group4",86529.9607673559
"Cell429","Cell429","Batch4","Patient55","Channel4","Group4",109107.059796031
"Cell430","Cell430","Batch4","Patient43","Channel4","Group2",126240.489589336
"Cell431","Cell431","Batch4","Patient45","Channel4","Group2",60789.7073719768
"Cell432","Cell432","Batch4","Patient47","Channel4","Group3",94057.5136692726
"Cell433","Cell433","Batch4","Patient52","Channel4","Group2",44202.3199342235
"Cell434","Cell434","Batch4","Patient50","Channel4","Group1",73564.7594872486
"Cell435","Cell435","Batch4","Patient52","Channel4","Group4",59413.4721614603
"Cell436","Cell436","Batch4","Patient48","Channel4","Group3",57943.000794356
"Cell437","Cell437","Batch4","Patient50","Channel4","Group5",46494.6009102446
"Cell438","Cell438","Batch4","Patient52","Channel4","Group3",31432.2269349023
"Cell439","Cell439","Batch4","Patient48","Channel4","Group1",37571.5095316004
"Cell440","Cell440","Batch4","Patient44","Channel4","Group5",139124.835658988
"Cell441","Cell441","Batch4","Patient50","Channel4","Group2",77014.6007643595
"Cell442","Cell442","Batch4","Patient45","Channel4","Group5",74952.919579724
"Cell443","Cell443","Batch4","Patient47","Channel4","Group3",54616.7017711832
"Cell444","Cell444","Batch4","Patient44","Channel4","Group3",85850.9712014015
"Cell445","Cell445","Batch4","Patient51","Channel4","Group3",40547.8251866978
"Cell446","Cell446","Batch4","Patient53","Channel4","Group4",31105.2968911154
"Cell447","Cell447","Batch4","Patient47","Channel4","Group5",48179.0963999398
"Cell448","Cell448","Batch4","Patient45","Channel4","Group1",69401.4680737382
"Cell449","Cell449","Batch4","Patient51","Channel4","Group5",54469.1201555417
"Cell450","Cell450","Batch4","Patient44","Channel4","Group1",110969.593047442
"Cell451","Cell451","Batch4","Patient46","Channel4","Group1",79835.0123384142
"Cell452","Cell452","Batch4","Patient46","Channel4","Group2",89257.7087767199
"Cell453","Cell453","Batch4","Patient50","Channel4","Group5",46204.3541475801
"Cell454","Cell454","Batch4","Patient53","Channel4","Group1",84443.6618523645
"Cell455","Cell455","Batch4","Patient56","Channel4","Group3",33457.9441319931
"Cell456","Cell456","Batch4","Patient46","Channel4","Group3",71077.749433966
"Cell457","Cell457","Batch4","Patient48","Channel4","Group3",67211.7511541258
"Cell458","Cell458","Batch4","Patient47","Channel4","Group1",35283.5874517948
"Cell459","Cell459","Batch4","Patient56","Channel4","Group2",60217.2707941439
"Cell460","Cell460","Batch4","Patient53","Channel4","Group5",44013.0955489341
"Cell461","Cell461","Batch4","Patient51","Channel4","Group4",49570.8102028313
"Cell462","Cell462","Batch4","Patient49","Channel4","Group3",64820.6172046134
"Cell463","Cell463","Batch4","Patient48","Channel4","Group1",68679.7779069771
"Cell464","Cell464","Batch4","Patient45","Channel4","Group4",55296.4015874799
"Cell465","Cell465","Batch4","Patient45","Channel4","Group4",85837.3791723952
"Cell466","Cell466","Batch4","Patient52","Channel4","Group5",84654.8042415828
"Cell467","Cell467","Batch4","Patient53","Channel4","Group1",82217.7661803191
"Cell468","Cell468","Batch4","Patient54","Channel4","Group3",87600.1120948462
"Cell469","Cell469","Batch4","Patient52","Channel4","Group4",51584.8651502685
"Cell470","Cell470","Batch4","Patient43","Channel4","Group3",57293.149574478
"Cell471","Cell471","Batch4","Patient52","Channel4","Group5",49345.9355050156
"Cell472","Cell472","Batch4","Patient46","Channel4","Group4",53537.3223397704
"Cell473","Cell473","Batch4","Patient45","Channel4","Group2",45844.5698312707
"Cell474","Cell474","Batch4","Patient53","Channel4","Group2",40197.1521526479
"Cell475","Cell475","Batch4","Patient47","Channel4","Group3",81735.8313086026
"Cell476","Cell476","Batch4","Patient50","Channel4","Group5",33097.6912121758
"Cell477","Cell477","Batch4","Patient53","Channel4","Group5",119456.324158616
"Cell478","Cell478","Batch4","Patient51","Channel4","Group5",61821.3031041075
"Cell479","Cell479","Batch4","Patient43","Channel4","Group3",39283.0111560985
"Cell480","Cell480","Batch4","Patient47","Channel4","Group2",58008.4400861085
"Cell481","Cell481","Batch4","Patient48","Channel4","Group3",56639.6118295437
"Cell482","Cell482","Batch4","Patient43","Channel4","Group2",36630.1873396884
"Cell483","Cell483","Batch4","Patient49","Channel4","Group4",53498.2248871097
"Cell484","Cell484","Batch4","Patient55","Channel4","Group4",45827.7948946567
"Cell485","Cell485","Batch4","Patient54","Channel4","Group1",69458.858161484
"Cell486","Cell486","Batch4","Patient51","Channel4","Group1",38522.3779913939
"Cell487","Cell487","Batch4","Patient50","Channel4","Group2",98700.6541931482
"Cell488","Cell488","Batch4","Patient51","Channel4","Group1",70503.8323961388
"Cell489","Cell489","Batch4","Patient44","Channel4","Group5",55798.6905631639
"Cell490","Cell490","Batch4","Patient53","Channel4","Group2",72201.3400704236
"Cell491","Cell491","Batch4","Patient56","Channel4","Group3",30062.8897048263
"Cell492","Cell492","Batch4","Patient51","Channel4","Group5",48993.3400502333
"Cell493","Cell493","Batch4","Patient52","Channel4","Group2",61099.755342815
"Cell494","Cell494","Batch4","Patient44","Channel4","Group4",58676.1207237088
"Cell495","Cell495","Batch4","Patient53","Channel4","Group2",77478.0611281115
"Cell496","Cell496","Batch4","Patient44","Channel4","Group2",101918.724805694
"Cell497","Cell497","Batch4","Patient56","Channel4","Group3",80526.5607494661
"Cell498","Cell498","Batch4","Patient52","Channel4","Group4",88926.3190188958
"Cell499","Cell499","Batch4","Patient51","Channel4","Group5",67444.6865033493
"Cell500","Cell500","Batch4","Patient53","Channel4","Group3",76202.234665112
"Cell501","Cell501","Batch4","Patient45","Channel4","Group1",70707.4838969752
"Cell502","Cell502","Batch4","Patient53","Channel4","Group4",68576.0389654377
"Cell503","Cell503","Batch4","Patient49","Channel4","Group5",45372.896738828
"Cell504","Cell504","Batch4","Patient47","Channel4","Group3",44287.641891398
"Cell505","Cell505","Batch4","Patient55","Channel4","Group3",45751.5125140697
"Cell506","Cell506","Batch4","Patient47","Channel4","Group5",27449.2508312319
"Cell507","Cell507","Batch4","Patient51","Channel4","Group3",55029.8131050024
"Cell508","Cell508","Batch4","Patient49","Channel4","Group5",56808.2798450107
"Cell509","Cell509","Batch4","Patient55","Channel4","Group4",41122.3947011795
"Cell510","Cell510","Batch4","Patient56","Channel4","Group3",83686.1041663032
"Cell511","Cell511","Batch4","Patient51","Channel4","Group2",58929.0443690284
"Cell512","Cell512","Batch4","Patient53","Channel4","Group2",67925.9272047317
"Cell513","Cell513","Batch4","Patient50","Channel4","Group3",63662.1007155117
"Cell514","Cell514","Batch4","Patient45","Channel4","Group4",93278.4591622736
"Cell515","Cell515","Batch4","Patient43","Channel4","Group3",56050.3919399858
"Cell516","Cell516","Batch4","Patient45","Channel4","Group1",107953.07333007
"Cell517","Cell517","Batch4","Patient48","Channel4","Group4",60862.1889991013
"Cell518","Cell518","Batch4","Patient44","Channel4","Group2",74761.4660491485
"Cell519","Cell519","Batch4","Patient53","Channel4","Group4",50388.6469624897
"Cell520","Cell520","Batch4","Patient43","Channel4","Group4",89691.9690651777
"Cell521","Cell521","Batch4","Patient55","Channel4","Group5",62410.474136621
"Cell522","Cell522","Batch4","Patient55","Channel4","Group1",43427.91516699
"Cell523","Cell523","Batch4","Patient53","Channel4","Group3",89144.8493101846
"Cell524","Cell524","Batch4","Patient43","Channel4","Group4",74564.8596446629
"Cell525","Cell525","Batch4","Patient49","Channel4","Group5",43536.1724172479
"Cell526","Cell526","Batch4","Patient53","Channel4","Group2",68504.0899676165
"Cell527","Cell527","Batch4","Patient48","Channel4","Group3",43051.9050725332
"Cell528","Cell528","Batch4","Patient43","Channel4","Group1",64730.6382273428
"Cell529","Cell529","Batch4","Patient48","Channel4","Group2",48883.8329885318
"Cell530","Cell530","Batch4","Patient43","Channel4","Group4",69879.2303078135
"Cell531","Cell531","Batch4","Patient55","Channel4","Group3",52752.17825447
"Cell532","Cell532","Batch4","Patient50","Channel4","Group1",45323.2169349699
"Cell533","Cell533","Batch4","Patient50","Channel4","Group2",54472.2574073586
"Cell534","Cell534","Batch4","Patient49","Channel4","Group3",90525.0862724106
"Cell535","Cell535","Batch4","Patient52","Channel4","Group3",69977.5566343192
"Cell536","Cell536","Batch4","Patient53","Channel4","Group5",85259.0680055396
"Cell537","Cell537","Batch4","Patient44","Channel4","Group1",68510.0748880432
"Cell538","Cell538","Batch4","Patient49","Channel4","Group2",49347.0416473836
"Cell539","Cell539","Batch4","Patient52","Channel4","Group5",65268.5285100945
"Cell540","Cell540","Batch4","Patient54","Channel4","Group4",41794.7476255064
"Cell541","Cell541","Batch4","Patient54","Channel4","Group3",76225.4621989435
"Cell542","Cell542","Batch4","Patient47","Channel4","Group2",56916.2998407397
"Cell543","Cell543","Batch4","Patient49","Channel4","Group4",67650.2509556116
"Cell544","Cell544","Batch4","Patient55","Channel4","Group4",69706.3720854926
"Cell545","Cell545","Batch4","Patient48","Channel4","Group1",54183.6364855924
"Cell546","Cell546","Batch4","Patient51","Channel4","Group5",53420.2156606044
"Cell547","Cell547","Batch4","Patient46","Channel4","Group5",74387.6661228893
"Cell548","Cell548","Batch4","Patient55","Channel4","Group2",59691.6651568108
"Cell549","Cell549","Batch4","Patient43","Channel4","Group2",55091.8740515102
"Cell550","Cell550","Batch4","Patient50","Channel4","Group1",45858.0561608623
"Cell551","Cell551","Batch4","Patient45","Channel4","Group4",38981.3548490315
"Cell552","Cell552","Batch4","Patient51","Channel4","Group1",63953.6818356714
"Cell553","Cell553","Batch4","Patient54","Channel4","Group2",44210.4669208873
"Cell554","Cell554","Batch4","Patient43","Channel4","Group5",61165.7598080856
"Cell555","Cell555","Batch4","Patient55","Channel4","Group1",76335.1888361689
"Cell556","Cell556","Batch4","Patient45","Channel4","Group4",72580.5999016282
"Cell557","Cell557","Batch4","Patient52","Channel4","Group4",72422.8627628027
"Cell558","Cell558","Batch4","Patient43","Channel4","Group4",66507.2735210779
"Cell559","Cell559","Batch4","Patient44","Channel4","Group5",49992.7831632757
"Cell560","Cell560","Batch4","Patient43","Channel4","Group5",29090.8431969211
"Cell561","Cell561","Batch5","Patient67","Channel5","Group5",47016.2907897834
"Cell562","Cell562","Batch5","Patient70","Channel5","Group2",53954.5617570797
"Cell563","Cell563","Batch5","Patient62","Channel5","Group3",61631.0276093627
"Cell564","Cell564","Batch5","Patient70","Channel5","Group2",43289.3308058136
"Cell565","Cell565","Batch5","Patient59","Channel5","Group3",47876.3937248896
"Cell566","Cell566","Batch5","Patient58","Channel5","Group1",43457.1927867138
"Cell567","Cell567","Batch5","Patient66","Channel5","Group4",61112.2264631786
"Cell568","Cell568","Batch5","Patient65","Channel5","Group3",33315.4692099924
"Cell569","Cell569","Batch5","Patient66","Channel5","Group4",25649.7973985035
"Cell570","Cell570","Batch5","Patient63","Channel5","Group2",95354.8071514717
"Cell571","Cell571","Batch5","Patient64","Channel5","Group3",102321.467445887
"Cell572","Cell572","Batch5","Patient60","Channel5","Group4",65496.4573912999
"Cell573","Cell573","Batch5","Patient61","Channel5","Group3",62532.4960932989
"Cell574","Cell574","Batch5","Patient63","Channel5","Group5",39530.9652708972
"Cell575","Cell575","Batch5","Patient57","Channel5","Group5",36979.5031016382
"Cell576","Cell576","Batch5","Patient57","Channel5","Group5",40356.048029526
"Cell577","Cell577","Batch5","Patient70","Channel5","Group4",78073.3642732477
"Cell578","Cell578","Batch5","Patient68","Channel5","Group1",39404.1124349906
"Cell579","Cell579","Batch5","Patient65","Channel5","Group4",34297.4776032774
"Cell580","Cell580","Batch5","Patient65","Channel5","Group2",40691.8322374158
"Cell581","Cell581","Batch5","Patient67","Channel5","Group4",112761.10720588
"Cell582","Cell582","Batch5","Patient58","Channel5","Group2",48490.8594710987
"Cell583","Cell583","Batch5","Patient59","Channel5","Group2",70678.7702512187
"Cell584","Cell584","Batch5","Patient58","Channel5","Group1",80216.5387300981
"Cell585","Cell585","Batch5","Patient60","Channel5","Group2",64005.7257669133
"Cell586","Cell586","Batch5","Patient61","Channel5","Group1",59713.9026422501
"Cell587","Cell587","Batch5","Patient64","Channel5","Group1",57518.9838238832
"Cell588","Cell588","Batch5","Patient66","Channel5","Group1",42051.4133828525
"Cell589","Cell589","Batch5","Patient57","Channel5","Group4",61138.4916701144
"Cell590","Cell590","Batch5","Patient69","Channel5","Group2",65528.5093932652
"Cell591","Cell591","Batch5","Patient58","Channel5","Group1",52537.2859817168
"Cell592","Cell592","Batch5","Patient67","Channel5","Group2",96077.9030973549
"Cell593","Cell593","Batch5","Patient63","Channel5","Group5",88417.0464210911
"Cell594","Cell594","Batch5","Patient66","Channel5","Group3",68282.7706764466
"Cell595","Cell595","Batch5","Patient69","Channel5","Group4",58651.706799186
"Cell596","Cell596","Batch5","Patient65","Channel5","Group3",41678.3125213712
"Cell597","Cell597","Batch5","Patient70","Channel5","Group1",60875.1602731283
"Cell598","Cell598","Batch5","Patient60","Channel5","Group1",89349.3728982511
"Cell599","Cell599","Batch5","Patient60","Channel5","Group2",78327.2439809711
"Cell600","Cell600","Batch5","Patient60","Channel5","Group3",78127.8580934471
"Cell601","Cell601","Batch5","Patient63","Channel5","Group3",33617.8703490976
"Cell602","Cell602","Batch5","Patient58","Channel5","Group2",42251.2161394209
"Cell603","Cell603","Batch5","Patient58","Channel5","Group5",78970.0386957242
"Cell604","Cell604","Batch5","Patient66","Channel5","Group5",41115.3594630918
"Cell605","Cell605","Batch5","Patient64","Channel5","Group3",71281.5737339918
"Cell606","Cell606","Batch5","Patient63","Channel5","Group2",58071.2610363325
"Cell607","Cell607","Batch5","Patient64","Channel5","Group4",68260.5505045989
"Cell608","Cell608","Batch5","Patient60","Channel5","Group4",52530.6689968553
"Cell609","Cell609","Batch5","Patient66","Channel5","Group4",51043.0594051016
"Cell610","Cell610","Batch5","Patient70","Channel5","Group4",57944.9125864895
"Cell611","Cell611","Batch5","Patient62","Channel5","Group2",86353.5677844852
"Cell612","Cell612","Batch5","Patient66","Channel5","Group3",40949.9655629651
"Cell613","Cell613","Batch5","Patient58","Channel5","Group2",52328.4515106927
"Cell614","Cell614","Batch5","Patient65","Channel5","Group5",75369.6471509981
"Cell615","Cell615","Batch5","Patient64","Channel5","Group2",75786.2634313082
"Cell616","Cell616","Batch5","Patient67","Channel5","Group1",78209.9872013531
"Cell617","Cell617","Batch5","Patient68","Channel5","Group3",42078.0060446904
"Cell618","Cell618","Batch5","Patient59","Channel5","Group3",38825.1696980923
"Cell619","Cell619","Batch5","Patient66","Channel5","Group5",56918.7589445419
"Cell620","Cell620","Batch5","Patient62","Channel5","Group4",61261.3716877355
"Cell621","Cell621","Batch5","Patient63","Channel5","Group1",86628.7936964016
"Cell622","Cell622","Batch5","Patient65","Channel5","Group1",39441.3682256638
"Cell623","Cell623","Batch5","Patient70","Channel5","Group2",53282.7925111374
"Cell624","Cell624","Batch5","Patient60","Channel5","Group4",29868.4553804112
"Cell625","Cell625","Batch5","Patient62","Channel5","Group5",62640.9542957446
"Cell626","Cell626","Batch5","Patient57","Channel5","Group2",35587.6674590902
"Cell627","Cell627","Batch5","Patient63","Channel5","Group4",52432.9432678001
"Cell628","Cell628","Batch5","Patient61","Channel5","Group4",61453.013966899
"Cell629","Cell629","Batch5","Patient60","Channel5","Group2",44269.8976652325
"Cell630","Cell630","Batch5","Patient68","Channel5","Group3",81963.6574023996
"Cell631","Cell631","Batch5","Patient59","Channel5","Group2",52965.6178192236
"Cell632","Cell632","Batch5","Patient58","Channel5","Group1",46171.150779656
"Cell633","Cell633","Batch5","Patient62","Channel5","Group4",46532.525316734
"Cell634","Cell634","Batch5","Patient63","Channel5","Group3",82076.5748857628
"Cell635","Cell635","Batch5","Patient66","Channel5","Group5",88143.5027949226
"Cell636","Cell636","Batch5","Patient64","Channel5","Group1",47603.6927486991
"Cell637","Cell637","Batch5","Patient57","Channel5","Group4",51511.4204121723
"Cell638","Cell638","Batch5","Patient58","Channel5","Group5",63710.2489418547
"Cell639","Cell639","Batch5","Patient60","Channel5","Group3",36942.841257059
"Cell640","Cell640","Batch5","Patient58","Channel5","Group4",44967.4070001106
"Cell641","Cell641","Batch5","Patient57","Channel5","Group4",53464.5256241926
"Cell642","Cell642","Batch5","Patient61","Channel5","Group1",29464.9096530371
"Cell643","Cell643","Batch5","Patient59","Channel5","Group4",79587.0483134888
"Cell644","Cell644","Batch5","Patient65","Channel5","Group4",55294.1842660701
"Cell645","Cell645","Batch5","Patient69","Channel5","Group1",54500.6083096253
"Cell646","Cell646","Batch5","Patient62","Channel5","Group1",56734.0639420346
"Cell647","Cell647","Batch5","Patient66","Channel5","Group5",81943.0468857391
"Cell648","Cell648","Batch5","Patient69","Channel5","Group5",90602.3978918168
"Cell649","Cell649","Batch5","Patient59","Channel5","Group2",74909.8669267717
"Cell650","Cell650","Batch5","Patient60","Channel5","Group3",65582.2141634944
"Cell651","Cell651","Batch5","Patient60","Channel5","Group1",62967.6419518891
"Cell652","Cell652","Batch5","Patient59","Channel5","Group3",29600.8980745765
"Cell653","Cell653","Batch5","Patient65","Channel5","Group2",62978.1200829817
"Cell654","Cell654","Batch5","Patient58","Channel5","Group4",67664.6228423958
"Cell655","Cell655","Batch5","Patient64","Channel5","Group4",99966.5097502058
"Cell656","Cell656","Batch5","Patient63","Channel5","Group5",53664.1933411791
"Cell657","Cell657","Batch5","Patient59","Channel5","Group4",98666.6324379885
"Cell658","Cell658","Batch5","Patient69","Channel5","Group2",63779.7240663727
"Cell659","Cell659","Batch5","Patient68","Channel5","Group5",63257.7845322073
"Cell660","Cell660","Batch5","Patient68","Channel5","Group4",41968.0946745981
"Cell661","Cell661","Batch5","Patient57","Channel5","Group4",54542.4931992377
"Cell662","Cell662","Batch5","Patient65","Channel5","Group5",68375.4480954813
"Cell663","Cell663","Batch5","Patient66","Channel5","Group4",91904.1452526872
"Cell664","Cell664","Batch5","Patient61","Channel5","Group4",85034.4142552641
"Cell665","Cell665","Batch5","Patient63","Channel5","Group1",55797.8724085266
"Cell666","Cell666","Batch5","Patient64","Channel5","Group4",87831.1491483411
"Cell667","Cell667","Batch5","Patient61","Channel5","Group1",48969.558909796
"Cell668","Cell668","Batch5","Patient64","Channel5","Group5",42785.4858349778
"Cell669","Cell669","Batch5","Patient69","Channel5","Group5",50138.3173781072
"Cell670","Cell670","Batch5","Patient57","Channel5","Group1",41239.9230150622
"Cell671","Cell671","Batch5","Patient62","Channel5","Group4",54743.6760119323
"Cell672","Cell672","Batch5","Patient58","Channel5","Group4",60992.7212018899
"Cell673","Cell673","Batch5","Patient62","Channel5","Group1",57950.6652187097
"Cell674","Cell674","Batch5","Patient68","Channel5","Group2",49901.8212130642
"Cell675","Cell675","Batch5","Patient66","Channel5","Group3",73418.3716838649
"Cell676","Cell676","Batch5","Patient69","Channel5","Group4",45346.8363190041
"Cell677","Cell677","Batch5","Patient64","Channel5","Group5",69850.1492242835
"Cell678","Cell678","Batch5","Patient68","Channel5","Group3",71731.119807463
"Cell679","Cell679","Batch5","Patient69","Channel5","Group2",54830.5537325809
"Cell680","Cell680","Batch5","Patient69","Channel5","Group2",54508.6087320471
"Cell681","Cell681","Batch5","Patient57","Channel5","Group1",42931.1251638502
"Cell682","Cell682","Batch5","Patient69","Channel5","Group5",48819.5716302322
"Cell683","Cell683","Batch5","Patient66","Channel5","Group3",60878.2576342495
"Cell684","Cell684","Batch5","Patient59","Channel5","Group2",51211.8936868629
"Cell685","Cell685","Batch5","Patient60","Channel5","Group2",42988.4826341276
"Cell686","Cell686","Batch5","Patient70","Channel5","Group5",100233.436265988
"Cell687","Cell687","Batch5","Patient57","Channel5","Group5",67414.2446688893
"Cell688","Cell688","Batch5","Patient59","Channel5","Group3",56207.1327142179
"Cell689","Cell689","Batch5","Patient57","Channel5","Group2",64250.7451842981
"Cell690","Cell690","Batch5","Patient67","Channel5","Group4",74395.2659833064
"Cell691","Cell691","Batch5","Patient64","Channel5","Group2",69885.0113048164
"Cell692","Cell692","Batch5","Patient65","Channel5","Group1",50017.0612196334
"Cell693","Cell693","Batch5","Patient61","Channel5","Group3",46889.5383601401
"Cell694","Cell694","Batch5","Patient70","Channel5","Group5",65829.1169468002
"Cell695","Cell695","Batch5","Patient59","Channel5","Group3",70889.0428960853
"Cell696","Cell696","Batch5","Patient59","Channel5","Group5",56778.7661033111
"Cell697","Cell697","Batch5","Patient70","Channel5","Group2",35565.4283266557
"Cell698","Cell698","Batch5","Patient67","Channel5","Group1",91031.7866113912
"Cell699","Cell699","Batch5","Patient62","Channel5","Group4",54311.954601846
"Cell700","Cell700","Batch5","Patient68","Channel5","Group2",73939.9953813116
"Cell701","Cell701","Batch6","Patient75","Channel6","Group3",58181.5363373073
"Cell702","Cell702","Batch6","Patient72","Channel6","Group5",56298.7044542303
"Cell703","Cell703","Batch6","Patient73","Channel6","Group5",72868.929671596
"Cell704","Cell704","Batch6","Patient83","Channel6","Group4",62095.570725577
"Cell705","Cell705","Batch6","Patient74","Channel6","Group4",48181.902793934
"Cell706","Cell706","Batch6","Patient82","Channel6","Group2",35562.8114124851
"Cell707","Cell707","Batch6","Patient74","Channel6","Group3",59627.0905117071
"Cell708","Cell708","Batch6","Patient83","Channel6","Group3",58609.9471152962
"Cell709","Cell709","Batch6","Patient75","Channel6","Group1",49783.3543329926
"Cell710","Cell710","Batch6","Patient72","Channel6","Group1",55694.1510282036
"Cell711","Cell711","Batch6","Patient71","Channel6","Group4",36214.8598917554
"Cell712","Cell712","Batch6","Patient84","Channel6","Group4",59620.364092748
"Cell713","Cell713","Batch6","Patient76","Channel6","Group4",81238.1617332163
"Cell714","Cell714","Batch6","Patient71","Channel6","Group2",65961.7714844233
"Cell715","Cell715","Batch6","Patient76","Channel6","Group3",45041.9188275187
"Cell716","Cell716","Batch6","Patient83","Channel6","Group2",46052.9688125129
"Cell717","Cell717","Batch6","Patient83","Channel6","Group1",77504.2459078114
"Cell718","Cell718","Batch6","Patient81","Channel6","Group2",78240.8012898393
"Cell719","Cell719","Batch6","Patient73","Channel6","Group3",71596.7959137364
"Cell720","Cell720","Batch6","Patient74","Channel6","Group2",58572.7365443161
"Cell721","Cell721","Batch6","Patient71","Channel6","Group4",71757.7902182432
"Cell722","Cell722","Batch6","Patient76","Channel6","Group2",50053.4832571404
"Cell723","Cell723","Batch6","Patient73","Channel6","Group4",45715.6746312785
"Cell724","Cell724","Batch6","Patient77","Channel6","Group5",51296.6265818363
"Cell725","Cell725","Batch6","Patient78","Channel6","Group1",59520.7996181169
"Cell726","Cell726","Batch6","Patient83","Channel6","Group2",63204.4374242369
"Cell727","Cell727","Batch6","Patient75","Channel6","Group4",61419.3334755083
"Cell728","Cell728","Batch6","Patient82","Channel6","Group2",74568.6615498604
"Cell729","Cell729","Batch6","Patient71","Channel6","Group1",66269.1194732064
"Cell730","Cell730","Batch6","Patient78","Channel6","Group2",100556.105045517
"Cell731","Cell731","Batch6","Patient71","Channel6","Group5",44901.9298759964
"Cell732","Cell732","Batch6","Patient75","Channel6","Group4",64102.3377701947
"Cell733","Cell733","Batch6","Patient82","Channel6","Group2",41715.7786984494
"Cell734","Cell734","Batch6","Patient81","Channel6","Group3",49413.1012879646
"Cell735","Cell735","Batch6","Patient71","Channel6","Group3",43400.2240013703
"Cell736","Cell736","Batch6","Patient83","Channel6","Group5",46725.316221146
